YEAR,COUNTYFIPS,STATEFIPS,STATE,COUNTY,REGION,TERRITORY,lon,lat,albumin_urine,bun,creatinine_serum,creatinine_urine
2020,72109,72,Puerto Rico,Patillas,,1,-66.005,18.02,8.810495136,15.88428086,0.851566207,131.1540733
2020,72111,72,Puerto Rico,Peñuelas,,1,-66.725,18.065,68.35655033,18.30932095,1.005677182,132.2270705
2020,72113,72,Puerto Rico,Ponce,,1,-66.615,18.05,22.11378691,18.40508462,0.96329185,121.2896812
2020,72115,72,Puerto Rico,Quebradillas,,1,-66.925,18.47,7.207227139,19.91378821,1.067820324,100.0547101
2020,72117,72,Puerto Rico,Rincón,,1,-67.23,18.335,6.146616766,18.42301734,0.897551675,140.2881818
2020,72119,72,Puerto Rico,Río Grande,,1,-65.8,18.35,11.32323226,17.95316112,0.928144691,135.3996376
2020,72121,72,Puerto Rico,Sabana Grande,,1,-66.94,18.075,17.52059512,18.08893421,0.962470264,123.7191082
2020,72123,72,Puerto Rico,Salinas,,1,-66.25,18.01,6.859682828,17.90941858,0.978377905,123.2852112
2020,72125,72,Puerto Rico,San Germán,,1,-67.035,18.105,9.564099989,17.34426928,0.933408171,112.7834921
2020,72127,72,Puerto Rico,San Juan,,1,-66.06,18.4,10.3506689,16.93078501,0.906054886,112.4157991
2020,72129,72,Puerto Rico,San Lorenzo,,1,-65.97,18.16,8.656875,17.07151604,0.922715105,131.3694758
2020,72131,72,Puerto Rico,San Sebastián,,1,-66.97,18.33,9.063801821,16.85329808,0.910681691,129.098996
2020,72133,72,Puerto Rico,Santa Isabel,,1,-66.385,17.99,20.71522101,17.49052863,0.927131888,135.3717097
2020,72135,72,Puerto Rico,Toa Alta,,1,-66.24,18.36,6.722239851,16.13044874,0.870254641,122.9854376
2020,72137,72,Puerto Rico,Toa Baja,,1,-66.2,18.435,35.14648689,17.0208762,0.886622826,124.1965489
2020,72139,72,Puerto Rico,Trujillo Alto,,1,-65.995,18.33,9.000142473,16.31741729,0.89781479,118.890501
2020,72141,72,Puerto Rico,Utuado,,1,-66.7,18.265,9.289971522,19.45995919,1.050495322,101.6723322
2020,72143,72,Puerto Rico,Vega Alta,,1,-66.335,18.42,8.795667107,15.71590126,0.88161669,138.626978
2020,72145,72,Puerto Rico,Vega Baja,,1,-66.4,18.42,14.89113101,16.40177483,0.913728501,134.3669916
2020,72147,72,Puerto Rico,Vieques,,1,-65.44,18.13,11.64725314,15.54795987,0.85534738,138.0122086
2020,72149,72,Puerto Rico,Villalba,,1,-66.475,18.13,65.61974944,17.77061843,0.96564624,119.2686464
2020,72151,72,Puerto Rico,Yabucoa,,1,-65.89,18.07,5.214727223,17.36822064,0.887486072,113.9092077
2020,72153,72,Puerto Rico,Yauco,,1,-66.855,18.08,17.4692453,17.9077161,0.96055857,124.0550937
